ticker,event_type,ann_date,eff_date,entry_date,exit_date,entry_price,exit_price,raw_return,net_return,vix_level,holding_days,year
HP,addition,2010-02-19,2010-02-26,2010-02-22,2010-02-26,22.859704971313477,22.19154930114746,-0.029228534270432652,-0.03322853427043265,20.020000457763672,4,2010
KMX,addition,2010-06-21,2010-06-28,2010-06-22,2010-06-28,20.0,20.93000030517578,0.046500015258789065,0.04250001525878906,24.8799991607666,6,2010
CB,addition,2010-07-07,2010-07-14,2010-07-08,2010-07-14,37.89002990722656,40.052268981933594,0.057066174927843986,0.05306617492784399,26.84000015258789,6,2010
IR,addition,2010-11-10,2010-11-17,2017-05-12,2017-05-12,19.525310516357422,19.525310516357422,0.0,-0.004,18.469999313354492,0,2010
NYT,removal,2010-12-10,2010-12-17,2010-12-13,2010-12-17,8.263188362121582,8.660882949829102,-0.048128466916057454,-0.05218322393180009,17.610000610351562,4,2010
NFX,addition,2010-12-10,2010-12-17,2010-12-13,2010-12-17,71.45999908447266,71.01000213623047,-0.006297186594002715,-0.010297186594002715,17.610000610351562,4,2010
NFLX,addition,2010-12-10,2010-12-17,2010-12-13,2010-12-17,2.625714063644409,2.571713924407959,-0.02056588719393904,-0.02456588719393904,17.610000610351562,4,2010
FFIV,addition,2010-12-10,2010-12-17,2010-12-13,2010-12-17,139.05999755859375,136.00999450683594,-0.021933000901087144,-0.025933000901087144,17.610000610351562,4,2010
EW,addition,2011-03-24,2011-03-31,2011-03-25,2011-03-31,14.75,14.5,-0.01694915254237288,-0.02094915254237288,18.0,6,2011
BLK,addition,2011-03-25,2011-04-01,2011-03-28,2011-04-01,127.60588836669922,137.78875732421875,0.07979936574915075,0.07579936574915075,17.90999984741211,4,2011
CMG,addition,2011-04-20,2011-04-27,2011-04-21,2011-04-27,5.546000003814697,5.260000228881836,-0.05156865754348044,-0.055568657543480435,15.069999694824219,6,2011
MPC,addition,2011-06-23,2011-06-30,2011-06-24,2011-06-30,12.229089736938477,13.591525077819824,0.11140938288857713,0.10740938288857713,19.290000915527344,6,2011
ACN,addition,2011-06-28,2011-07-05,2011-06-29,2011-07-05,45.673675537109375,47.076446533203125,0.030712899270697265,0.026712899270697265,19.170000076293945,6,2011
MOS,addition,2011-09-16,2011-09-23,2011-09-19,2011-09-23,51.76985549926758,43.60124588012695,-0.15778698897964263,-0.16178698897964264,30.979999542236328,4,2011
NSM,removal,2011-09-16,2011-09-23,2012-03-08,2012-03-08,14.199999809265137,14.199999809265137,-0.0,-0.004,30.979999542236328,0,2011
TEL,addition,2011-10-07,2011-10-14,2011-10-10,2011-10-14,23.415668487548828,26.080854415893555,0.11382062099836811,0.1098206209983681,36.20000076293945,4,2011
ITT,removal,2011-10-24,2011-10-31,2011-10-25,2011-10-31,12.328739166259766,12.77125072479248,-0.03589268558327055,-0.039974821106884516,29.260000228881836,6,2011
XYL,addition,2011-10-24,2011-10-31,2011-10-25,2011-10-31,21.228456497192383,22.044614791870117,0.03844642660598886,0.03444642660598886,29.260000228881836,6,2011
CBE,addition,2011-11-11,2011-11-18,2011-11-14,2011-11-18,53.90999984741211,52.13999938964844,-0.03283250719297932,-0.036832507192979314,30.040000915527344,4,2011
DLTR,addition,2011-12-09,2011-12-16,2011-12-12,2011-12-16,41.46500015258789,41.40999984741211,-0.001326427227140589,-0.005326427227140589,26.3799991607666,4,2011
PRGO,addition,2011-12-09,2011-12-16,2011-12-12,2011-12-16,76.60684967041016,76.45112609863281,-0.0020327630289892064,-0.006032763028989207,26.3799991607666,4,2011
BWA,addition,2011-12-09,2011-12-16,2011-12-12,2011-12-16,25.014616012573242,22.9058837890625,-0.08430000374384392,-0.08830000374384392,26.3799991607666,4,2011
TLAB,removal,2011-12-13,2011-12-20,2011-12-14,2011-12-20,3.809999942779541,3.9049999713897705,-0.024934391085823307,-0.02901652660943727,25.40999984741211,6,2011
TRIP,addition,2011-12-13,2011-12-20,2011-12-14,2011-12-20,24.11715316772461,26.900585174560547,0.11541295887944751,0.11141295887944751,25.40999984741211,6,2011
CEG,removal,2012-03-06,2012-03-13,2022-01-19,2022-01-19,40.5550537109375,40.5550537109375,-0.0,-0.004,20.8700008392334,0,2012
CCI,addition,2012-03-06,2012-03-13,2012-03-07,2012-03-13,32.13084411621094,32.98008728027344,0.026430776639136982,0.022430776639136982,20.8700008392334,6,2012
FOSL,addition,2012-03-27,2012-04-03,2012-03-28,2012-04-03,132.64999389648438,134.38999938964844,0.013117267796649163,0.009117267796649163,15.59000015258789,6,2012
SVU,removal,2012-04-16,2012-04-23,2012-04-17,2012-04-23,44.26337814331055,42.132686614990234,0.048136667775826335,0.044054532252212376,19.549999237060547,6,2012
PSX,addition,2012-04-16,2012-04-23,2012-04-17,2012-04-23,22.564252853393555,22.363689422607422,-0.008888547389060527,-0.012888547389060527,19.549999237060547,6,2012
KMI,addition,2012-05-10,2012-05-17,2012-05-11,2012-05-17,17.277000427246094,16.77378273010254,-0.02912645046590221,-0.03312645046590221,18.829999923706055,6,2012
LRCX,addition,2012-05-29,2012-06-05,2012-05-30,2012-06-05,3.2049458026885986,3.16843843460083,-0.011390947097184256,-0.015390947097184256,21.030000686645508,6,2012
MNST,addition,2012-06-22,2012-06-29,2012-06-25,2012-06-29,12.3100004196167,11.866666793823242,-0.0360141032235043,-0.040014103223504294,18.110000610351562,4,2012
STX,addition,2012-06-25,2012-07-02,2012-06-26,2012-07-02,13.150907516479492,13.390803337097168,0.018241769270832504,0.014241769270832504,20.3799991607666,6,2012
LYB,addition,2012-08-29,2012-09-05,2012-08-30,2012-09-05,23.525232315063477,22.70351791381836,-0.034929066384562925,-0.03892906638456292,17.059999465942383,6,2012
ADT,addition,2012-09-24,2012-10-01,2018-01-19,2018-01-19,9.546114921569824,9.546114921569824,0.0,-0.004,14.149999618530273,0,2012
DV,removal,2012-09-24,2012-10-01,2021-04-21,2021-04-21,36.0,36.0,-0.0,-0.004,14.149999618530273,0,2012
PNR,addition,2012-09-24,2012-10-01,2012-09-25,2012-10-01,22.775320053100586,22.642059326171875,-0.005851102272899524,-0.009851102272899523,14.149999618530273,6,2012
MDLZ,addition,2012-09-25,2012-10-02,2012-09-26,2012-10-02,20.47393035888672,20.843280792236328,0.018040035639238786,0.014040035639238786,15.430000305175781,6,2012
CBE,removal,2012-11-26,2012-12-03,2012-11-27,2012-12-03,78.66000366210938,0.07000000029802322,0.999110094113411,0.9950279585897971,15.5,6,2012
DG,addition,2012-11-26,2012-12-03,2012-11-27,2012-12-03,42.67412185668945,42.02768325805664,-0.015148257784980733,-0.019148257784980735,15.5,6,2012
GRMN,addition,2012-12-04,2012-12-11,2012-12-05,2012-12-11,26.092782974243164,27.860340118408203,0.06774122736964619,0.06374122736964619,17.1200008392334,6,2012
ABBV,addition,2012-12-26,2013-01-02,2013-01-02,2013-01-02,20.561065673828125,20.561065673828125,0.0,-0.004,19.479999542236328,0,2012
PVH,addition,2013-02-08,2013-02-15,2013-02-11,2013-02-15,117.23604583740234,117.8246841430664,0.0050209669002352735,0.0010209669002352734,13.020000457763672,4,2013
